Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"The Complete Works of Herman Melville: Adventure Classics, Sea Tales, Philosophical Works, Short Stories, Poetry & Essays: Moby-Dick, Typee, Omoo, Redburn, ... Piazza Tales, John Marr and Other Sailors…",Herman Melville,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"The Steampunk Bible: An Illustrated Guide to the World of Imaginary Airships, Corsets and Goggles, Mad Scientists, and Strange Literature",Jeff VanderMeer,"",9780810989580,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
Aurora Rising,"Jay Kristoff, Kaufman Amie","","",audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Towers of the Sunset,L.E. Modesitt Jr.,"","",digital,"","","","","","","","","","","","","","","","",humble-bundle,Yes
My Lucky Life In and Out of Show Business,Dick Van Dyke,"",9780307914293,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
A Big Ship at the Edge of the Universe,Alex White,"","",hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Dangerous and Unseemly,K.B. Owen,"",,,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Descendant of the Crane,Joan He,"",9780807515518,hardcover,"","","","","","","","","","","","","","","","",asian-literature,No
The Graveyard Book,Neil Gaiman,Dave McKean (Illustrator),9780060530921,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Cloud Atlas,David Mitchell,"",9780345807472,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Lake House,Sarah Beth Durst,"",9780063214071,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
The Death of Jane Lawrence,Caitlin Starling,"",9781250272584,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
